"","manufacturer","model","year","average_price"
"615","buick","lacrosse",2013,12878.9642857143
"616","buick","lacrosse",2014,13620.7586206897
"617","buick","lacrosse",2015,15421.8095238095
"618","buick","lacrosse",2016,16050.9090909091
"619","buick","lacrosse",2017,23088.9302325581
"620","buick","lacrosse",2018,22407.4285714286
"621","buick","lacrosse",2019,28243
"622","buick","lacrosse/lesabre",2005,3995
"623","buick","lasabre",2002,4500
"624","buick","lasabre",2004,3500
"625","buick","lasabre",2005,4449.5
"626","buick","le",2001,5200
"627","buick","le",2005,3995
"628","buick","lecern",2009,5995
"629","buick","lecerne",2010,6000
"630","buick","lesabre",1998,3495
"631","buick","lesabre",1999,4450
"632","buick","lesabre",2000,4123.28571428571
"633","buick","lesabre",2001,4639.71428571429
"634","buick","lesabre",2002,4539
"635","buick","lesabre",2003,5083.62962962963
"636","buick","lesabre",2004,4350.79411764706
"637","buick","lesabre",2005,4780.67857142857
"638","buick","lucern",2011,6995
"639","buick","lucerne",2006,5254.33802816901
"640","buick","lucerne",2007,5691.94339622641
"641","buick","lucerne",2008,5944.09803921569
"642","buick","lucerne",2009,5945
"643","buick","lucerne",2010,7395.26086956522
"644","buick","lucerne",2011,10048.1136363636
"645","buick","park",1994,5466.66666666667
"646","buick","park",1998,4000
"647","buick","park",1999,3687.5
"648","buick","park",2001,4880
"649","buick","park",2003,4868.42857142857
"650","buick","park",2004,5699
"651","buick","park",2005,4200
"652","buick","rainer",2005,5000
"653","buick","rainier",2003,3500
"654","buick","rainier",2004,4784.25
"655","buick","rainier",2005,4798.25
"656","buick","rainier",2006,4671.25
"657","buick","ranier",2006,6575
"658","buick","regal",1992,3400
"659","buick","regal",1996,3500
"660","buick","regal",1998,3650
"661","buick","regal",2000,3500
"662","buick","regal",2002,3800
"663","buick","regal",2003,4544.4
"664","buick","regal",2004,3500
"665","buick","regal",2005,5200
"666","buick","regal",2011,6652.87804878049
"667","buick","regal",2012,8870.83333333333
"668","buick","regal",2013,11635.2
"669","buick","regal",2014,11494.2666666667
"670","buick","regal",2015,11580.12
"671","buick","regal",2016,16702.7096774194
"672","buick","regal",2017,21022.4724409449
"673","buick","regal",2018,24938.7428571429
"674","buick","regal",2019,23444.6842105263
"675","buick","rendevous",2004,4495
"676","buick","rendevous",2007,3800
"677","buick","rendezvous",2002,4800
"678","buick","rendezvous",2003,4512.33333333333
"679","buick","rendezvous",2004,4877.07142857143
"680","buick","rendezvous",2005,4270.41666666667
"681","buick","rendezvous",2006,4628.68181818182
"682","buick","rendezvous",2007,5457.8
"683","buick","rivera",1996,5995
"684","buick","rivera",1998,4000
"685","buick","riviera",1992,7750
"686","buick","riviera",1996,5133.33333333333
"687","buick","riviera",1998,24888
"688","buick","riviera",1999,10995
"689","buick","roadmaster",1994,7335.71428571429
"690","buick","roadmaster",1996,5650
"691","buick","skylark",1994,4250
"692","buick","terraza",2005,5539.91666666667
"693","buick","terraza",2006,5100.71428571429
"694","buick","terraza",2007,11555.5555555556
"695","buick","terraza",2008,16900
"696","buick","terraza",2009,4995
"697","buick","terraza.",2005,6995
"698","buick","verano",2012,8050.34375
"699","buick","verano",2013,9942.08695652174
"700","buick","verano",2014,10640.7118644068
"701","buick","verano",2015,11990.7027027027
"702","buick","verano",2016,13961.0185185185
"703","buick","verano",2017,12378.5454545455
"704","buick","verao",2013,6995
"705","buick","verrano",2015,10599
"706","cadillac","allante",1992,8258.33333333333
"707","cadillac","allante",2003,9900
"708","cadillac","ats",2013,12906.9642857143
"709","cadillac","ats",2014,17194.9375
"710","cadillac","ats",2015,19085.3191489362
"711","cadillac","ats",2016,21224.4520547945
"712","cadillac","ats",2017,22386.8571428571
"713","cadillac","ats",2018,25792.7848101266
"714","cadillac","ats",2019,29856.6666666667
"715","cadillac","ats-v",2016,22500
"716","cadillac","ats-v",2017,44332.0833333333
"717","cadillac","ats-v",2018,55000
"718","cadillac","ats4",2013,16808.125
"719","cadillac","ats4",2014,13900
"720","cadillac","ats4",2015,16900
"721","cadillac","catera",2000,3500
"722","cadillac","commercial",2003,7997
"723","cadillac","ct4",2020,33473.5833333333
"724","cadillac","ct5",2020,35355.9862068966
"725","cadillac","ct6",2016,36961.5757575758
"726","cadillac","ct6",2017,32718.875
"727","cadillac","ct6",2018,32591.3684210526
"728","cadillac","ct6",2019,33900
"729","cadillac","cts",2003,5870.53846153846
"730","cadillac","cts",2004,5468.18181818182
"731","cadillac","cts",2005,4490.23076923077
"732","cadillac","cts",2006,6126.95652173913
"733","cadillac","cts",2007,5322.375
"734","cadillac","cts",2008,7651.49333333333
"735","cadillac","cts",2009,8225.97101449275
"736","cadillac","cts",2010,9699.57446808511
"737","cadillac","cts",2011,11090.6125
"738","cadillac","cts",2012,11883.25
"739","cadillac","cts",2013,21916.4444444444
"740","cadillac","cts",2014,18163.625
"741","cadillac","cts",2015,20036.0909090909
"742","cadillac","cts",2016,22661.0983606557
"743","cadillac","cts",2017,27369.5315789474
"744","cadillac","cts",2018,29215.4545454545
"745","cadillac","cts",2019,34744.24
"746","cadillac","cts",2020,49999
"747","cadillac","cts-4",2012,9495
"748","cadillac","cts-4",2013,11900
"749","cadillac","cts-v",2004,13016.6666666667
"750","cadillac","cts-v",2005,22950
"751","cadillac","cts-v",2009,32986
"752","cadillac","cts-v",2011,31649.2
